symbol,date,open,high,low,close,volume,wap,barcount
NVDA,20250505 11:39:00 US/Eastern,113.64,113.69,113.6,113.64,187921,113.651,588
NVDA,20250505 11:40:00 US/Eastern,113.65,113.78,113.61,113.75,270533,113.708,780
NVDA,20250505 11:41:00 US/Eastern,113.76,113.8,113.71,113.73,181130,113.755,606
NVDA,20250505 11:42:00 US/Eastern,113.73,113.75,113.57,113.58,231690,113.627,682
NVDA,20250505 11:43:00 US/Eastern,113.58,113.63,113.47,113.53,393476,113.524,1120
NVDA,20250505 11:44:00 US/Eastern,113.54,113.56,113.4,113.54,314737,113.477,977
NVDA,20250505 11:45:00 US/Eastern,113.53,113.64,113.51,113.63,249971,113.577,758
NVDA,20250505 11:46:00 US/Eastern,113.64,113.68,113.6,113.63,188234,113.646,554
NVDA,20250505 11:47:00 US/Eastern,113.63,113.63,113.51,113.52,158050,113.552,535
NVDA,20250505 11:48:00 US/Eastern,113.53,113.6,113.5,113.56,137668,113.545,430
NVDA,20250505 11:49:00 US/Eastern,113.55,113.6,113.48,113.55,196900,113.534,653
NVDA,20250505 11:50:00 US/Eastern,113.54,113.71,113.53,113.71,208201,113.636,585
NVDA,20250505 11:51:00 US/Eastern,113.71,113.77,113.7,113.71,214736,113.733,562
NVDA,20250505 11:52:00 US/Eastern,113.72,113.78,113.69,113.76,168872,113.75,419
NVDA,20250505 11:53:00 US/Eastern,113.76,113.8,113.72,113.74,138736,113.758,383
NVDA,20250505 11:54:00 US/Eastern,113.74,113.75,113.67,113.7,126938,113.704,410
NVDA,20250505 11:55:00 US/Eastern,113.7,113.72,113.65,113.67,93008,113.679,370
NVDA,20250505 11:56:00 US/Eastern,113.66,113.7,113.63,113.66,134010,113.671,544
NVDA,20250505 11:57:00 US/Eastern,113.67,113.69,113.5,113.56,278813,113.561,1144
NVDA,20250505 11:58:00 US/Eastern,113.55,113.62,113.5,113.59,140875,113.564,527
NVDA,20250505 11:59:00 US/Eastern,113.6,113.63,113.55,113.57,111349,113.598,351
NVDA,20250505 12:00:00 US/Eastern,113.57,113.7,113.56,113.64,187220,113.639,595
NVDA,20250505 12:01:00 US/Eastern,113.64,113.74,113.6,113.72,180481,113.66,537
NVDA,20250505 12:02:00 US/Eastern,113.72,113.73,113.6,113.66,128137,113.669,389
NVDA,20250505 12:03:00 US/Eastern,113.67,113.72,113.62,113.68,128207,113.673,326
NVDA,20250505 12:04:00 US/Eastern,113.68,113.75,113.63,113.75,162866,113.69,447
NVDA,20250505 12:05:00 US/Eastern,113.75,113.77,113.68,113.74,213871,113.724,455
NVDA,20250505 12:06:00 US/Eastern,113.75,113.8,113.73,113.76,198017,113.776,558
NVDA,20250505 12:07:00 US/Eastern,113.76,113.78,113.7,113.74,135088,113.736,458
NVDA,20250505 12:08:00 US/Eastern,113.74,113.75,113.66,113.7,105590,113.691,422
NVDA,20250505 12:09:00 US/Eastern,113.71,113.71,113.63,113.67,110077,113.678,305
NVDA,20250505 12:10:00 US/Eastern,113.67,113.69,113.65,113.67,74485,113.671,249
NVDA,20250505 12:11:00 US/Eastern,113.68,113.72,113.67,113.7,87071,113.691,285
NVDA,20250505 12:12:00 US/Eastern,113.7,113.75,113.68,113.73,98997,113.729,325
NVDA,20250505 12:13:00 US/Eastern,113.71,113.77,113.7,113.73,133936,113.732,359
NVDA,20250505 12:14:00 US/Eastern,113.73,113.75,113.69,113.75,88644,113.726,340
NVDA,20250505 12:15:00 US/Eastern,113.75,113.79,113.71,113.77,126001,113.75,427
NVDA,20250505 12:16:00 US/Eastern,113.77,113.8,113.75,113.79,110973,113.776,377
NVDA,20250505 12:17:00 US/Eastern,113.79,113.91,113.79,113.86,356555,113.854,1180
NVDA,20250505 12:18:00 US/Eastern,113.86,113.88,113.83,113.87,162772,113.854,444
NVDA,20250505 12:19:00 US/Eastern,113.87,113.9,113.83,113.86,156322,113.865,506
NVDA,20250505 12:20:00 US/Eastern,113.85,113.95,113.85,113.93,189417,113.904,652
NVDA,20250505 12:21:00 US/Eastern,113.93,113.93,113.84,113.9,160102,113.885,608
NVDA,20250505 12:22:00 US/Eastern,113.9,113.95,113.86,113.89,182807,113.908,627
NVDA,20250505 12:23:00 US/Eastern,113.89,113.93,113.83,113.91,116353,113.896,434
